#Photon energy	Wavelength	ep1	ep2	n	k
#eV	m				
4.400e-01	2.818e-06	-3.962e+02	4.390e+01	1.101e+00	1.994e+01
4.381e-01	2.830e-06	-3.997e+02	4.447e+01	1.111e+00	2.002e+01
4.362e-01	2.843e-06	-4.032e+02	4.505e+01	1.120e+00	2.011e+01
4.343e-01	2.855e-06	-4.068e+02	4.564e+01	1.130e+00	2.020e+01
4.323e-01	2.868e-06	-4.104e+02	4.624e+01	1.139e+00	2.029e+01
4.304e-01	2.881e-06	-4.140e+02	4.685e+01	1.149e+00	2.038e+01
4.285e-01	2.893e-06	-4.177e+02	4.747e+01	1.159e+00	2.047e+01
4.266e-01	2.906e-06	-4.214e+02	4.810e+01	1.170e+00	2.056e+01
4.247e-01	2.919e-06	-4.252e+02	4.874e+01	1.180e+00	2.065e+01
4.228e-01	2.933e-06	-4.290e+02	4.939e+01	1.190e+00	2.075e+01
4.209e-01	2.946e-06	-4.329e+02	5.006e+01	1.201e+00	2.084e+01
4.189e-01	2.959e-06	-4.369e+02	5.074e+01	1.212e+00	2.094e+01
4.170e-01	2.973e-06	-4.409e+02	5.142e+01	1.223e+00	2.103e+01
4.151e-01	2.987e-06	-4.449e+02	5.213e+01	1.234e+00	2.113e+01
4.132e-01	3.001e-06	-4.490e+02	5.284e+01	1.245e+00	2.123e+01
4.113e-01	3.015e-06	-4.532e+02	5.357e+01	1.256e+00	2.132e+01
4.094e-01	3.029e-06	-4.574e+02	5.431e+01	1.267e+00	2.142e+01
4.075e-01	3.043e-06	-4.617e+02	5.506e+01	1.279e+00	2.152e+01
4.056e-01	3.057e-06	-4.660e+02	5.583e+01	1.291e+00	2.163e+01
4.036e-01	3.072e-06	-4.704e+02	5.662e+01	1.303e+00	2.173e+01
4.017e-01	3.086e-06	-4.748e+02	5.741e+01	1.315e+00	2.183e+01
3.998e-01	3.101e-06	-4.794e+02	5.823e+01	1.327e+00	2.193e+01
3.979e-01	3.116e-06	-4.839e+02	5.905e+01	1.340e+00	2.204e+01
3.960e-01	3.131e-06	-4.886e+02	5.990e+01	1.352e+00	2.215e+01
3.941e-01	3.146e-06	-4.933e+02	6.076e+01	1.365e+00	2.225e+01
3.922e-01	3.162e-06	-4.981e+02	6.163e+01	1.378e+00	2.236e+01
3.903e-01	3.177e-06	-5.029e+02	6.253e+01	1.391e+00	2.247e+01
3.883e-01	3.193e-06	-5.078e+02	6.344e+01	1.405e+00	2.258e+01
3.864e-01	3.209e-06	-5.128e+02	6.436e+01	1.418e+00	2.269e+01
3.845e-01	3.224e-06	-5.179e+02	6.531e+01	1.432e+00	2.280e+01
3.826e-01	3.241e-06	-5.230e+02	6.628e+01	1.446e+00	2.292e+01
3.807e-01	3.257e-06	-5.282e+02	6.726e+01	1.460e+00	2.303e+01
3.788e-01	3.273e-06	-5.335e+02	6.826e+01	1.475e+00	2.314e+01
3.769e-01	3.290e-06	-5.389e+02	6.928e+01	1.489e+00	2.326e+01
3.749e-01	3.307e-06	-5.443e+02	7.033e+01	1.504e+00	2.338e+01
3.730e-01	3.324e-06	-5.498e+02	7.139e+01	1.519e+00	2.350e+01
3.711e-01	3.341e-06	-5.555e+02	7.248e+01	1.534e+00	2.362e+01
3.692e-01	3.358e-06	-5.611e+02	7.359e+01	1.550e+00	2.374e+01
3.673e-01	3.376e-06	-5.669e+02	7.472e+01	1.566e+00	2.386e+01
3.654e-01	3.393e-06	-5.728e+02	7.587e+01	1.582e+00	2.399e+01
3.635e-01	3.411e-06	-5.788e+02	7.705e+01	1.598e+00	2.411e+01
3.616e-01	3.429e-06	-5.848e+02	7.825e+01	1.614e+00	2.424e+01
3.596e-01	3.447e-06	-5.909e+02	7.947e+01	1.631e+00	2.436e+01
3.577e-01	3.466e-06	-5.972e+02	8.073e+01	1.648e+00	2.449e+01
3.558e-01	3.485e-06	-6.035e+02	8.201e+01	1.665e+00	2.462e+01
3.539e-01	3.503e-06	-6.100e+02	8.331e+01	1.683e+00	2.475e+01
3.520e-01	3.522e-06	-6.165e+02	8.464e+01	1.701e+00	2.489e+01
3.501e-01	3.542e-06	-6.231e+02	8.600e+01	1.719e+00	2.502e+01
3.482e-01	3.561e-06	-6.299e+02	8.740e+01	1.737e+00	2.516e+01
3.463e-01	3.581e-06	-6.367e+02	8.882e+01	1.756e+00	2.529e+01
3.443e-01	3.601e-06	-6.437e+02	9.027e+01	1.775e+00	2.543e+01
3.424e-01	3.621e-06	-6.508e+02	9.175e+01	1.794e+00	2.557e+01
3.405e-01	3.641e-06	-6.580e+02	9.327e+01	1.813e+00	2.572e+01
3.386e-01	3.662e-06	-6.653e+02	9.481e+01	1.833e+00	2.586e+01
3.367e-01	3.683e-06	-6.727e+02	9.640e+01	1.854e+00	2.600e+01
3.348e-01	3.704e-06	-6.803e+02	9.802e+01	1.874e+00	2.615e+01
3.329e-01	3.725e-06	-6.880e+02	9.967e+01	1.895e+00	2.630e+01
3.310e-01	3.746e-06	-6.958e+02	1.014e+02	1.916e+00	2.645e+01
3.290e-01	3.768e-06	-7.037e+02	1.031e+02	1.938e+00	2.660e+01
3.271e-01	3.790e-06	-7.118e+02	1.049e+02	1.960e+00	2.675e+01
3.252e-01	3.812e-06	-7.200e+02	1.067e+02	1.982e+00	2.691e+01
3.233e-01	3.835e-06	-7.284e+02	1.085e+02	2.005e+00	2.706e+01
